EPL-IN,GC,M/TC,OSs,PGC,Genes
0.0,0.0006205625860227537,0.0,0.0,0.0,Cdsn
0.036130123534161486,0.001683506370443464,0.005600776339805825,0.0,0.002720201084465446,Ceacam1
0.0,0.00015523062711864406,0.0017972660503089144,0.0,0.0,Ceacam2
0.0,0.005238730360575807,0.03431479220829656,0.0022668903316666665,0.007198847620791493,Cebpa
0.11637847258385094,0.03129618883538426,0.05583637044924978,0.021105216102500005,0.05440596720850561,Cebpb
0.019575939819875775,0.053509643749129296,0.1706138767184466,0.013281715096666664,0.025719205553455405,Cecr6
0.0,0.002532025052937079,0.0015215076628420122,0.0,0.001356693503248671,Celsr1
0.3925683774099379,0.1503178991843511,0.15690251367343339,0.024658024603333335,0.09337035304784408,Celsr2
0.0,0.001918745530879963,0.002157663504854369,0.0,0.006120308101004134,Cenpa
0.0,0.0021218200224053865,0.00232873594086496,0.0019101759875000002,0.006045876443591259,Cenpe
0.0334015810621118,0.005314537187717669,0.004911642004413063,0.0,0.0094913989492026,Cenpp
0.0,0.004588698006152774,0.019848119144748454,0.004138412763333334,0.004760645089781453,Cep128
0.0,0.0006753718962154632,0.0012265019761694617,0.0,0.0,Cep72
0.36794096898136647,0.15378148334153696,0.2173167388349514,0.026416924263333332,0.1252898801748376,Cept1
0.0,0.00630845572904574,0.005372358541041483,0.0,0.013574204033668045,Cercam
0.07597811433540373,0.08243863766995596,0.19305284600529565,0.042702721250000006,0.22141263899291203,Cerk
0.0,0.00047455619863013697,0.0,0.0,0.0,Cfhr2
0.0,0.002360898811817971,0.0,0.0,0.0,Cftr
0.007349450291925465,0.005015007102971906,0.007805811767872904,0.0013660085766666666,0.017326759633786177,Cgn
0.022204808198757763,0.011486541251683309,0.046745284758164175,0.008662543880833333,0.0182407883230951,Cgnl1
0.06629804401863353,0.004357445768400278,0.10405164510414829,0.0017403484208333335,0.01708403993030124,Cgref1
0.01672593767080745,0.0008496471982818669,0.002271080095322154,0.0,0.006824948017129357,Ch25h
0.025902140472049688,0.005264996111794752,0.011785590866725508,0.0,0.010186188265800354,Chac1
0.0,0.001317978101811005,0.0,0.0,0.0010660331801535736,Chaf1b
0.020441803086956523,0.045943949591014624,0.038426812703442184,0.033809864726666666,0.12002603230714708,Chchd5
0.01489940906832298,0.07866345149593683,0.036196841062665484,0.014860911198333335,0.1921011389751919,Chd7
0.0,0.0030410972446018114,0.0027359910609002645,0.0,0.0005581826414648554,Chdh
0.0,0.0073166908583700944,0.0,0.0,0.013582463457176609,Chek2
1.5845156639130433,0.1826565749172275,1.3044693555383962,0.05772617368166666,0.498165950793857,Chga
2.0260782222049682,0.6176811506292093,2.184469007749335,0.06545495930083334,0.7104518621890145,Chgb
0.3429081619875777,0.0192836047389134,0.04312148711385701,0.015274285819166667,0.018033970702894274,Chl1
0.013200043782608696,0.04013534621000695,0.017909637268314214,0.006809788001666667,0.16884554418783232,Chml
0.0,0.06449084180961225,0.06842431890203,0.03136653037583333,0.1669371014642646,Chn2
